加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,909698
一一,杨德昌 Edward Yang,2000,9.1,439368
七宗罪,大卫·芬奇 David Fincher,1995,8.8,992423
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.7,1145971
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,425315
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,587754
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.9,765337
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.8,737192
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,611683
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,735217
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,593006
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.8,1075938
重庆森林,王家卫 Kar Wai Wong,1994,8.8,863317
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.8,772086
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,705712
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,1452785
断背山,李安 Ang Lee,2005,8.8,740824
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,1076769
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,557820
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,603194
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,580152
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,633679
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,589398
未麻的部屋,今敏 Satoshi Kon,1997,9.1,381306
消失的爱人,大卫·芬奇 David Fincher,2014,8.7,1013754
无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,346185
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,727633
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,336967
阳光灿烂的日子,姜文 Wen Jiang,1994,8.8,650295
倩女幽魂,程小东 Siu-Tung Ching,1987,8.8,775626
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.8,716466
小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,447997
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,985493
茶馆,谢添 Tian Xie,1982(中国大陆),9.6,174407
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,492548
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.8,800867
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,400715
新世界,朴勋政 Hoon-jung Park,2013,8.9,481874
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.8,719321
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,604663
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,520690
傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,856267
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,552844
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,708541
小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,398500
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,647272
色，戒,李安 Ang Lee,2007,8.7,883086
萤火之森,大森贵弘 Takahiro Omori,2011,8.8,573510
釜山行,延尚昊 Sang-ho Yeon,2016,8.6,1269013
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.7,995138
九品芝麻官,王晶 Jing Wong,1994,8.7,733024
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.2,277050
告白,中岛哲也 Tetsuya Nakashima,2010,8.8,703656
喜宴,李安 Ang Lee,1993,9.0,393621
玛丽和马克思,亚当·艾略特 Adam Elliot,2009,9.0,437603
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,684696
大鱼,蒂姆·波顿 Tim Burton,2003,8.8,595971
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.6,1434869
花样年华,王家卫 Kar Wai Wong,2000,8.8,655707
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,675627
七武士,黑泽明 Akira Kurosawa,1954,9.3,212563
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,356356
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,323805
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,817302
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,611367
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,689828
你的名字。,新海诚 Makoto Shinkai,2016,8.5,1502235
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,470307
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,867647
心迷宫,忻钰坤 Yukun Xin,2014,8.8,567347
电锯惊魂,詹姆斯·温 James Wan,2004,8.7,570647
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,477963
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,1065535
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,878377
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.8,441935
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,1053935
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,153977
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,358318
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,315703
英雄本色,吴宇森 John Woo,1986,8.6,571917
